Date,Country,City,Specie,min,max,median,variance
2/20/20,CN,Wuhan,no2,1.9,34.3,11,547.88
3/10/20,CN,Wuhan,no2,1.4,38,6,216.2
3/21/20,CN,Wuhan,no2,3.7,34.8,11.9,241.99
3/27/20,CN,Wuhan,no2,1,21.5,6,55.64
4/1/20,CN,Wuhan,no2,2.3,26.6,10.1,315.22
1/23/20,CN,Wuhan,no2,4.6,21.5,9.6,92.84
2/6/20,CN,Wuhan,no2,1.4,32,5.1,151.33
2/9/20,CN,Wuhan,no2,1,24.7,6.4,168.37
4/5/20,CN,Wuhan,no2,3.7,44.4,11.5,491.21
2/14/20,CN,Wuhan,no2,0.5,19.2,6.9,119.63
2/27/20,CN,Wuhan,no2,1.4,21.1,5.5,126.18
3/4/20,CN,Wuhan,no2,1.4,30.2,7.8,198.21
3/13/20,CN,Wuhan,no2,1.9,30.2,9.2,238.23
1/4/20,CN,Wuhan,no2,7.8,32,22.9,282.48
1/17/20,CN,Wuhan,no2,3.2,36.2,11.5,549.03
2/10/20,CN,Wuhan,no2,1.9,33,9.6,369.38
1/30/20,CN,Wuhan,no2,2.3,37.1,8.7,364.89
2/11/20,CN,Wuhan,no2,0.5,17,6.4,71.27
2/18/20,CN,Wuhan,no2,1.9,28.4,7.8,324.36
3/8/20,CN,Wuhan,no2,1.4,23.8,7.8,165.81
3/28/20,CN,Wuhan,no2,1.4,19.2,6,101.64
1/14/20,CN,Wuhan,no2,3.7,49.4,14.2,503.19
1/20/20,CN,Wuhan,no2,2.3,64.9,32,1539.02
1/28/20,CN,Wuhan,no2,1,27.5,5.5,107.11
3/29/20,CN,Wuhan,no2,1,21.5,5.5,84.24
4/2/20,CN,Wuhan,no2,1.9,33,8.3,153.35
1/26/20,CN,Wuhan,no2,1,21.5,3.7,56.43
2/23/20,CN,Wuhan,no2,1.4,26.6,8.7,180.16
3/17/20,CN,Wuhan,no2,2.3,43.9,10.1,684.43
1/18/20,CN,Wuhan,no2,1.4,41.2,19.2,646.37
1/19/20,CN,Wuhan,no2,5.5,55.7,18.3,692.86
2/4/20,CN,Wuhan,no2,2.3,58.9,11.5,771.39
2/26/20,CN,Wuhan,no2,1.9,24.7,6,79.37
3/22/20,CN,Wuhan,no2,1.4,21.5,6.9,84.94
1/6/20,CN,Wuhan,no2,5.1,31.1,17.4,333.98
1/11/20,CN,Wuhan,no2,3.7,33.9,13.8,370.91
