"","Super.region","Regions","location","Area","Longitude","Latitude","NO2_Concentration","iso.code","continent","date","totcases","totdeaths","totcases.mil","totdeaths.mil","population","pop.density","med.age","older70","gdp.cap","card.death","diab.prev","fem.smokers","male.smokers","case.fatality.rate","pop.weighted.NO2"
"24","High-income","High-income Western Europe","Israel",2171,34.851,31.026,2.57192061434453e-05,"ISR","Asia",2021-06-28,841196,6429,97185.837,742.761,8655541,402.606,30.6,7.359,33132.32,93.32,6.74,15.4,35.4,0.00764268969419731,3.81253510973976e-09
"25","High-income","High-income Western Europe","Italy",29411,10.44,44.931,3.50089961539585e-05,"ITA","Europe",2021-06-28,4258456,127500,70432.141,2108.769,60461828,205.859,47.9,16.24,35220.084,113.151,4.78,19.8,27.8,0.0299404291132749,3.12726955735852e-09
"26","High-income","High-income Western Europe","Luxembourg",0,6.088,49.771,3.98021046601562e-05,"LUX","Europe",2021-06-28,70642,818,112850.972,1306.759,625976,231.447,39.7,9.842,94277.965,128.275,4.42,20.9,26,0.0115795136038051,0
"27","High-income","High-income Western Europe","Malta",32,14.442,35.89,1.63598591080952e-05,"MLT","Europe",2021-06-28,30612,420,69330.229,951.218,441539,1454.037,42.4,11.324,36513.323,168.711,8.83,20.9,30.2,0.0137201097608781,0
"28","High-income","High-income Western Europe","Netherlands",3388,5.389,52.077,7.77991240986641e-05,"NLD","Europe",2021-06-28,1711545,18024,99886.646,1051.89,17134873,508.544,43.2,11.881,48472.545,109.361,5.29,24.4,27.3,0.0105308361743337,8.51806945506973e-09
"29","High-income","High-income Western Europe","Norway",30625,8.74,61.152,1.15402691528583e-05,"NOR","Europe",2021-06-28,130744,792,24116.983,146.092,5421242,14.462,39.7,10.813,64800.057,114.316,5.31,19.6,20.7,0.00605763935629933,1.93227246032808e-09
"30","High-income","High-income Western Europe","Portugal",9150,-8.058,40.309,2.30746631467451e-05,"PRT","Europe",2021-06-28,875449,17086,85856.051,1675.639,10196707,112.371,46.2,14.924,27936.896,127.842,9.85,16.3,30,0.0195168422146807,2.50860689972738e-09
"31","High-income","High-income Western Europe","Spain",49904,-3.649,40.227,2.61832512240611e-05,"ESP","Europe",2021-06-28,3792642,80789,81117.733,1727.93,46754783,93.105,45.5,13.799,34272.36,99.403,7.17,27.4,31.4,0.021301509607287,2.49415638229885e-09
"32","High-income","High-income Western Europe","Sweden",41033,15.27,62.011,1.28646699282761e-05,"SWE","Europe",2021-06-28,1088896,14619,107819.278,1447.53,10099270,24.718,41,13.433,46949.283,133.982,4.79,18.8,18.9,0.0134255245680028,2.17510235344246e-09
"33","High-income","High-income Western Europe","Switzerland",4000,7.908,46.861,4.21481751515317e-05,"CHE","Europe",2021-06-28,702746,10885,81198.962,1257.71,8654618,214.243,43.1,12.644,57410.166,99.739,5.59,22.6,28.9,0.0154892379323397,4.11294641207147e-09
"34","High-income","High-income Western Europe","United Kingdom",24193,-2.9,54.16,3.80608672470716e-05,"GBR","Europe",2021-06-28,4771367,128367,70284.988,1890.92,67886004,272.898,40.8,12.527,39753.244,122.137,4.28,20,24.7,0.0269036106424008,6.25459767288443e-09
"35","Latin America and Caribbean","Caribbean","Antigua and Barbuda",44,-61.783,17.078,9.53316832443192e-06,"ATG","North America",2021-06-28,1263,42,12897.231,428.887,97928,231.845,32.1,4.631,21490.943,191.511,13.17,NA,NA,0.0332541567695962,0
"36","Latin America and Caribbean","Caribbean","Barbados",43,-59.559,13.153,7.25567677805856e-06,"BRB","North America",2021-06-28,4077,47,14187.235,163.552,287371,664.463,39.8,9.473,16978.068,170.05,13.57,1.9,14.5,0.0115280843757665,0
"37","Latin America and Caribbean","Caribbean","Belize",2281,-88.602,17.219,1.12606286666998e-05,"BLZ","North America",2021-06-28,13189,329,33169.777,827.421,397621,16.426,25,2.279,7824.362,176.957,17.11,NA,NA,0.0249450299492001,7.02116632304866e-10
"38","Latin America and Caribbean","Caribbean","Bermuda",5,-64.709,32.336,1.24615616530092e-05,"BMU","North America",2021-06-28,NA,NA,NA,NA,62273,1308.82,NA,NA,50669.315,139.547,13,NA,NA,NA,0
"39","Latin America and Caribbean","Caribbean","Cuba",10982,-77.781,21.297,1.2468790464481e-05,"CUB","North America",2021-06-28,184943,1253,16328.178,110.624,11326616,110.408,43.1,9.719,NA,190.968,8.27,17.1,53.3,0.00677506042402254,7.82080747606776e-10
"40","Latin America and Caribbean","Caribbean","Dominica",75,-61.356,15.475,9.93885467051056e-06,"DMA","North America",2021-06-28,193,NA,2680.891,NA,71991,98.567,NA,NA,9673.367,227.376,11.62,NA,NA,NA,0
"41","Latin America and Caribbean","Caribbean","Dominican Republic",4838,-70.729,19.015,1.31421815290452e-05,"DOM","North America",2021-06-28,323650,3801,29835.257,350.39,10847904,222.873,27.6,4.419,14600.861,266.653,8.2,8.5,19.1,0.0117441680828055,1.97052550941299e-09
"42","Latin America and Caribbean","Caribbean","Grenada",34,-61.678,12.118,1.77200625899109e-05,"GRD","North America",2021-06-28,161,1,1430.869,8.887,112519,317.132,29.4,5.021,13593.877,243.964,10.71,NA,NA,0.0062111801242236,0
"43","Latin America and Caribbean","Caribbean","Guyana",19685,-58.974,4.792,6.1501526636052e-06,"GUY","South America",2021-06-28,19891,466,25288.631,592.454,786559,3.952,26.3,2.837,7435.047,373.159,11.62,NA,NA,0.0234276808606908,4.13792663687049e-10
"44","Latin America and Caribbean","Caribbean","Haiti",2756,-72.278,19.142,2.03070668506806e-05,"HTI","North America",2021-06-28,18212,413,1597.189,36.22,11402533,398.448,24.3,2.954,1653.173,430.548,6.65,2.9,23.1,0.0226773555897211,3.1651507497267e-09
"45","Latin America and Caribbean","Caribbean","Jamaica",1083,-77.32,18.151,1.05173237184021e-05,"JAM","North America",2021-06-28,50054,1061,16903.505,358.305,2961161,266.879,31.4,6.39,8193.571,206.537,11.28,5.3,28.6,0.0211971071243057,0
"46","Latin America and Caribbean","Caribbean","Puerto Rico",887,-66.466,18.221,9.00395551174925e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Latin America and Caribbean","Caribbean","Saint Lucia",61,-60.969,13.898,8.0315344935615e-06,"LCA","North America",2021-06-28,5284,84,28775.411,457.444,183629,293.187,34.9,6.405,12951.839,204.62,11.62,NA,NA,0.0158970476911431,0
"48","Latin America and Caribbean","Caribbean","Saint Vincent and the Grenadines",39,-61.194,13.248,8.23116839525363e-06,"VCT","North America",2021-06-28,2219,12,20000.541,108.16,110947,281.787,31.8,4.832,10727.146,252.675,11.62,NA,NA,0.00540784136998648,0
"49","Latin America and Caribbean","Caribbean","Suriname",15600,-55.912,4.127,5.73522984877053e-06,"SUR","South America",2021-06-28,21360,512,36411.118,872.776,586634,3.612,29.6,4.229,13767.119,258.314,12.54,7.4,42.9,0.0239700374531835,5.67100831573488e-10
"50","Latin America and Caribbean","Caribbean","Bahamas",1001,-78.014,24.628,1.19522483329611e-05,"BHS","North America",2021-06-28,12467,245,31702.641,623.017,393248,39.497,34.3,5.2,27717.847,235.954,13.17,3.1,20.4,0.0196518809657496,0
"51","Latin America and Caribbean","Caribbean","Trinidad and Tobago",513,-61.253,10.468,8.3165921523419e-06,"TTO","North America",2021-06-28,32343,822,23110.545,587.356,1399491,266.886,36.2,5.819,28763.071,228.467,10.97,NA,NA,0.02541508208886,1.61465315130405e-09
"52","Latin America and Caribbean","Central Latin America","Colombia",103870,-73.076,3.9,1.01910655599216e-05,"COL","South America",2021-06-28,4187194,105326,82290.815,2069.969,50882884,44.223,32.2,4.312,13254.949,124.24,7.44,4.7,13.5,0.0251543157541781,1.08641320049251e-09
"53","Latin America and Caribbean","Central Latin America","Costa Rica",5106,-83.946,9.971,1.06767679205359e-05,"CRI","North America",2021-06-28,364304,4648,71514.693,912.426,5094114,96.079,33.6,5.694,15524.995,137.973,8.78,6.4,17.4,0.0127585752558303,6.14715606336103e-10
"54","Latin America and Caribbean","Central Latin America","El Salvador",2072,-88.866,13.736,1.19541884958516e-05,"SLV","North America",2021-06-28,78766,2371,12143.626,365.545,6486201,307.811,27.6,5.417,7292.458,167.295,8.87,2.5,18.8,0.0301018205824848,3.65461689326834e-10
"55","Latin America and Caribbean","Central Latin America","Guatemala",10843,-90.398,15.256,1.86366459169798e-05,"GTM","North America",2021-06-28,291977,9089,16297.391,507.324,17915567,157.834,22.9,3.016,7423.808,155.898,10.18,NA,NA,0.0311291642834881,1.70803271637285e-09
"56","Latin America and Caribbean","Central Latin America","Honduras",11189,-86.863,14.819,1.26375017848487e-05,"HND","North America",2021-06-28,260331,6922,26283.827,698.867,9904608,82.805,24.9,2.883,4541.795,240.208,7.21,2,NA,0.0265892267920455,1.30763354642271e-09
"57","Latin America and Caribbean","Central Latin America","Mexico",190869,-102.535,23.951,1.48413125717419e-05,"MEX","North America",2021-06-28,2507453,232608,19447.758,1804.103,128932753,66.444,29.3,4.321,17336.469,152.783,13.06,6.9,21.4,0.0927666440806667,1.66745506235618e-09
"58","Latin America and Caribbean","Central Latin America","Nicaragua",12140,-85.034,12.84,9.99292127198985e-06,"NIC","North America",2021-06-28,7920,189,1195.552,28.53,6624554,51.667,27.3,3.519,5321.444,137.016,11.47,NA,NA,0.0238636363636364,9.03809362104238e-10
"59","Latin America and Caribbean","Central Latin America","Panama",7443,-80.92,8.384,1.25079107132651e-05,"PAN","North America",2021-06-28,401332,6529,93013.576,1513.175,4314768,55.133,29.7,5.03,22267.037,128.346,8.33,2.4,9.9,0.0162683264728454,1.75163024125378e-09
"60","Latin America and Caribbean","Central Latin America","Venezuela",88205,-66.166,7.125,9.24895146480608e-06,"VEN","South America",2021-06-28,269635,3068,9482.189,107.892,28435943,36.253,29,3.915,16745.022,204.85,6.47,NA,NA,0.0113783447994511,1.31265453533837e-09
"61","Latin America and Caribbean","Tropical Latin America","Brazil",845942,-53.089,-10.772,1.24792113585639e-05,"BRA","South America",2021-06-28,18448402,514092,86791.745,2418.58,212559409,25.04,33.5,5.06,14103.452,177.961,8.11,10.1,17.9,0.0278664786250863,1.39965384446219e-09
